ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
13486,AF,Issued,2023AF18170,ABD,2023-Aug-04,2023-Aug-18,14,14
12389,AF,Refused221g,2023AF19025,CRO,2023-Aug-03,,,30
13503,AF,Issued,2023AF19608,CRO,2023-Aug-03,2023-Aug-21,18,18
13518,AF,Issued,2023AF20550,CSB,2023-Aug-01,2023-Aug-17,16,16
13520,AF,Refused,2023AF20606,LUA,2023-Aug-02,2023-Aug-23,21,21
14405,AF,Issued,2023AF20907,ABJ,2023-Jul-31,2023-Aug-31,31,31
12907,AF,Issued,2023AF21140,FTN,2023-Aug-03,2023-Aug-09,6,6
13543,AF,Refused,2023AF22610,ABD,2023-Jul-31,2023-Aug-23,23,23
12406,AF,Refused221g,2023AF23038,CRO,2023-Aug-02,,,31
12407,AF,Refused221g,2023AF23065,NRB,2023-Aug-02,,,31
12408,AF,Refused221g,2023AF23264,DJI,2023-Aug-02,,,31
12914,AF,Issued,2023AF23329,CRO,2023-Aug-03,2023-Aug-07,4,4
12413,AF,Refused221g,2023AF23514,NRB,2023-Aug-02,,,31
13551,AF,Refused,2023AF23603,LUS,2023-Aug-03,2023-Aug-15,12,12
12917,AF,Issued,2023AF23744,FTN,2023-Aug-03,2023-Aug-10,7,7
12919,AF,Issued,2023AF23814,NRB,2023-Aug-03,2023-Aug-10,7,7
12921,AF,Issued,2023AF24028,LUS,2023-Aug-04,2023-Aug-08,4,4
13556,AF,Issued,2023AF24109,CRO,2023-Aug-03,2023-Aug-20,17,17
13559,AF,Issued,2023AF24273,FTN,2023-Aug-03,2023-Aug-18,15,15
12420,AF,Refused221g,2023AF24357,FTN,2023-Aug-03,,,30
12421,AF,Refused221g,2023AF24571,DJI,2023-Jul-31,,,33
12422,AF,AP,2023AF24683,CRO,2023-Aug-03,,,30
12425,AF,Refused221g,2023AF26802,DJI,2023-Aug-01,,,32
12426,AF,Refused221g,2023AF27190,NPL,2023-Aug-03,,,30
12427,AF,Refused221g,2023AF27347,DJI,2023-Jul-31,,,33
14462,AF,Issued,2023AF27858,ABJ,2023-Jul-31,2023-Aug-30,30,30
12431,AF,Refused221g,2023AF28341,CRO,2023-Aug-03,,,30
13597,AF,Issued,2023AF28413,CRO,2023-Aug-03,2023-Aug-16,13,13
12435,AF,Refused221g,2023AF29208,ABJ,2023-Jul-31,,,33
12950,AF,Issued,2023AF29550,CRO,2023-Aug-02,2023-Aug-07,5,5
12438,AF,Refused221g,2023AF29552,CRO,2023-Aug-03,,,30
13603,AF,Issued,2023AF29762,ABJ,2023-Aug-04,2023-Aug-22,18,18
12440,AF,Refused221g,2023AF30847,MST,2023-Aug-03,,,30
12441,AF,Refused221g,2023AF30884,FTN,2023-Aug-03,,,30
12954,AF,Issued,2023AF31589,BMB,2023-Aug-04,2023-Aug-10,6,6
13619,AF,Issued,2023AF32629,PRS,2023-Aug-03,2023-Aug-21,18,18
12451,AF,Refused221g,2023AF34314,ADD,2023-Aug-03,,,30
14494,AF,Issued,2023AF35083,CSB,2023-Aug-02,2023-Aug-31,29,29
12455,AF,Refused221g,2023AF35650,MDD,2023-Jul-31,,,33
13643,AF,Issued,2023AF35990,PRS,2023-Aug-03,2023-Aug-21,18,18
13645,AF,Issued,2023AF36746,ALG,2023-Jul-31,2023-Aug-17,17,17
12972,AF,Refused,2023AF36827,ABD,2023-Jul-31,2023-Aug-08,8,8
13653,AF,AP,2023AF38415,ALG,2023-Jul-30,2023-Aug-24,25,25
12467,AF,Issued,2023AF38720,ALG,2023-Jul-31,,,33
14512,AF,Issued,2023AF38802,CSB,2023-Aug-04,2023-Aug-31,27,27
12474,AF,Refused221g,2023AF39257,PRS,2023-Aug-03,,,30
12476,AF,Refused221g,2023AF39711,COT,2023-Aug-03,,,30
14520,AF,Issued,2023AF40175,CSB,2023-Aug-01,2023-Aug-29,28,28
13666,AF,Issued,2023AF40396,PRS,2023-Aug-04,2023-Aug-23,19,19
12480,AF,AP,2023AF40401,COT,2023-Aug-03,,,30
12483,AF,Refused221g,2023AF40804,CSB,2023-Aug-01,,,32
12995,AF,AP,2023AF41337,CSB,2023-Aug-01,2023-Aug-11,10,10
12486,AF,Refused221g,2023AF41504,LUA,2023-Aug-02,,,31
12998,AF,Issued,2023AF41516,LOM,2023-Aug-01,2023-Aug-10,9,9
