ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
16685,AF,Issued,2022AF2718,ADD,2022-Jul-29,2022-Sep-30,63,63
16686,AF,Issued,2022AF2763,NRB,2022-Jul-29,2022-Sep-30,63,63
16687,AF,Refused,2022AF2833,ACC,2022-Jul-27,2022-Sep-30,65,65
16690,AF,Issued,2022AF2886,NRB,2022-Jul-25,2022-Sep-29,66,66
13240,AF,Administrative Processing,2022AF2978,KIN,2022-Jul-27,2022-Sep-02,37,37
10709,AF,Issued,2022AF3008,CRO,2022-Jul-27,2022-Aug-09,13,13
10712,AF,Issued,2022AF3080,CRO,2022-Jul-25,2022-Aug-11,17,17
11494,AF,Administrative Processing,2022AF3112,ACC,2022-Jul-28,2022-Aug-19,22,22
16695,AF,Issued,2022AF3276,NRB,2022-Jul-28,2022-Sep-28,62,62
9058,AF,Refused,2022AF3279,NRB,2022-Jul-29,,,400
11495,AF,Issued,2022AF3298,ADD,2022-Jul-27,2022-Aug-17,21,21
16696,AF,Refused,2022AF3337,NRB,2022-Jul-29,2022-Sep-30,63,63
16699,AF,Issued,2022AF3815,KIN,2022-Jul-29,2022-Sep-30,63,63
10720,AF,Issued,2022AF3845,CRO,2022-Jul-29,2022-Aug-08,10,10
15680,AF,Issued,2022AF4237,CRO,2022-Jul-28,2022-Sep-22,56,56
16712,AF,Issued,2022AF4519,CRO,2022-Jul-26,2022-Sep-30,66,66
14776,AF,Issued,2022AF4624,CRO,2022-Jul-28,2022-Sep-15,49,49
14004,AF,Issued,2022AF4815,CRO,2022-Jul-25,2022-Sep-07,44,44
16723,AF,Issued,2022AF5165,KIN,2022-Jul-29,2022-Sep-29,62,62
10737,AF,Issued,2022AF5286,CRO,2022-Jul-28,2022-Aug-09,12,12
9075,AF,Refused,2022AF5455,KIN,2022-Jul-29,,,400
10745,AF,Issued,2022AF6012,CRO,2022-Jul-27,2022-Aug-11,15,15
10746,AF,Issued,2022AF6022,CRO,2022-Jul-27,2022-Aug-11,15,15
9084,AF,Refused,2022AF6630,NRB,2022-Jul-26,,,403
9866,AF,Administrative Processing,2022AF7641,ADD,2022-Jul-29,2022-Aug-02,4,4
14022,AF,Administrative Processing,2022AF7774,ADD,2022-Jul-29,2022-Sep-08,41,41
16758,AF,Issued,2022AF8089,NRB,2022-Jul-28,2022-Sep-30,64,64
9869,AF,Administrative Processing,2022AF8190,NRB,2022-Jul-29,2022-Aug-04,6,6
16771,AF,Issued,2022AF8640,CRO,2022-Jul-26,2022-Sep-30,66,66
9095,AF,Refused,2022AF8701,KIN,2022-Jul-28,,,401
14824,AF,Issued,2022AF11708,MRV,2022-Jul-29,2022-Sep-13,46,46
9105,AF,Refused,2022AF11932,KIN,2022-Jul-27,,,402
9112,AF,Refused,2022AF13524,KIN,2022-Jul-27,,,402
16843,AF,Refused,2022AF13678,ABJ,2022-Jul-26,2022-Sep-30,66,66
9115,AF,Refused,2022AF13914,KIN,2022-Jul-27,,,402
9116,AF,Refused,2022AF14021,KIN,2022-Jul-27,,,402
9117,AF,Refused,2022AF14028,KIN,2022-Jul-27,,,402
9118,AF,Refused,2022AF14044,KIN,2022-Jul-27,,,402
12441,AF,Issued,2022AF14140,ABJ,2022-Jul-26,2022-Aug-23,28,28
9121,AF,Refused,2022AF14263,ABJ,2022-Jul-26,,,403
9122,AF,Refused,2022AF14738,KIN,2022-Jul-29,,,400
9908,AF,Administrative Processing,2022AF15683,KIN,2022-Jul-27,2022-Aug-05,9,9
16875,AF,Issued,2022AF15762,LUA,2022-Jul-27,2022-Sep-30,65,65
11572,AF,Refused,2022AF16009,MRV,2022-Jul-27,2022-Aug-18,22,22
14089,AF,Administrative Processing,2022AF16339,MRV,2022-Jul-28,2022-Sep-08,42,42
16882,AF,Issued,2022AF16406,MRV,2022-Jul-27,2022-Sep-29,64,64
11576,AF,Issued,2022AF16436,ADD,2022-Jul-29,2022-Aug-17,19,19
14865,AF,Refused,2022AF16449,ABJ,2022-Jul-26,2022-Sep-14,50,50
12459,AF,Issued,2022AF16531,ABJ,2022-Jul-26,2022-Aug-23,28,28
11590,AF,Refused,2022AF17401,KIN,2022-Jul-29,2022-Aug-18,20,20
13353,AF,Issued,2022AF18182,DRS,2022-Jul-29,2022-Aug-31,33,33
9923,AF,Issued,2022AF18587,LUA,2022-Jul-27,2022-Aug-04,8,8
14891,AF,Issued,2022AF18679,DRS,2022-Jul-29,2022-Sep-14,47,47
9924,AF,Issued,2022AF18769,DKR,2022-Jul-26,2022-Aug-03,8,8
16919,AF,Issued,2022AF18844,DRS,2022-Jul-29,2022-Sep-30,63,63
15773,AF,Refused,2022AF18847,MRV,2022-Jul-27,2022-Sep-22,57,57
10828,AF,Refused,2022AF19259,LUA,2022-Jul-27,2022-Aug-12,16,16
9146,AF,Refused,2022AF19428,DRS,2022-Jul-29,,,400
15779,AF,Issued,2022AF20074,ADD,2022-Jul-27,2022-Sep-23,58,58
14918,AF,Issued,2022AF20430,LOM,2022-Jul-27,2022-Sep-15,50,50
14147,AF,Administrative Processing,2022AF20539,LOM,2022-Jul-27,2022-Sep-09,44,44
10837,AF,Issued,2022AF20707,JHN,2022-Jul-28,2022-Aug-11,14,14
14924,AF,Administrative Processing,2022AF20711,ADD,2022-Jul-28,2022-Sep-15,49,49
10838,AF,Issued,2022AF20975,LOM,2022-Jul-28,2022-Aug-11,14,14
12508,AF,Administrative Processing,2022AF21731,LOM,2022-Jul-28,2022-Aug-25,28,28
16955,AF,Refused,2022AF21831,LOM,2022-Jul-27,2022-Sep-27,62,62
11620,AF,Issued,2022AF21948,ADD,2022-Jul-29,2022-Aug-17,19,19
10844,AF,Issued,2022AF21972,LOM,2022-Jul-27,2022-Aug-12,16,16
9942,AF,Issued,2022AF22448,LOM,2022-Jul-27,2022-Aug-04,8,8
12520,AF,Administrative Processing,2022AF22555,LOM,2022-Jul-28,2022-Aug-25,28,28
9164,AF,Refused,2022AF24763,KWT,2022-Jul-27,,,402
